Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,currently sending,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
Lilpanda,$500.00,Yes,,Good,$500,$327.26,-$172.74,-$172.74,$0.00,$0.00,Yes,0.00%,send to jon,$157.38,,6415,6415,,
andrewh,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,Yes,0.00%,sent to guy IO 200,,People Leave ->,0,6415,total after bs,
asaltypepper,$50.00,Yes,,Good,$50,$147.72,$97.72,$97.72,$93.00,$4.72,Yes,4.83%,sent 93 from jon,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
sahquilliis (shaq),$150.00,Yes,,Good,$150,$191.09,$41.09,$41.09,$38.00,$3.09,Yes,7.52%,,,should be 0 at end:,$0.00,"$2,823.17",2356.97,6.68%
pkqu123 (pkqu 2),$200.00,Yes,,Good,$200,$272.31,$72.31,$72.31,$55.00,$17.31,Yes,23.94%,,,,,,,
Frankie (FD),$600.00,Yes,,Good,$600,$846.41,$246.41,$246.41,$230.00,$16.41,Yes,6.66%,sent 150 from pepper,,,Credit Sum,Receive Sum,In-Game,
ddavidl (ddd),$100.00,Yes,,Good,$100,$249.03,$149.03,$149.03,$141.58,$7.45,Yes,5.00%,"from MYL owes me, sent 36.58",,,"$5,685",$730.00,$0.00,
barack obama (dan321),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,sent to guy IO 200,,,,,,
Vish754 (BrokeMonk),$300.00,Yes,,Good,$300,$0.00,-$300.00,-$300.00,$0.00,$0.00,Yes,0.00%,last 66 to kij,Pokernow Link:,https://www.pokernow.club/games/pglh3L3Ur9PCBw_Xnicje08Nz,,,,
StevewithN (steve),$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,Yes,0.00%,sent to nub,,,,,,
drew ,$100.00,Yes,,Good,$100,$218.58,$118.58,$118.58,$112.00,$6.58,Yes,5.55%,sent 100,,,,,,
MrLukahn,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,Yes,0.00%,,,,,,,
nub5000 (nub) ,$100.00,No,$100.00,Good,$0,$235.14,$135.14,$235.14,$225.00,$10.14,Yes,7.50%,sent to guy IO 200 and drew,WL:,,,,,
patrick (pat),$50.00,Yes,,Good,$50,$131.02,$81.02,$81.02,$75.00,$6.02,Yes,7.43%,,,,,,,
Jon (water),$300.00,Yes,,Good,$300,$0.00,-$300.00,-$300.00,$0.00,$0.00,Yes,0.00%,,,,,,,
BB,$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Joonga ,$110.00,Yes,,Good,$110,$48.85,-$61.15,-$61.15,$0.00,$0.00,Yes,0.00%,,,,,,,
waffles (sabs),$70.00,Yes,,Good,$70,$108.62,$38.62,$38.62,$36.00,$2.62,Yes,6.78%,sent 11 from jon,,,,,,
Demet,$75.00,Yes,,Good,$75,$185.32,$110.32,$110.32,$104.00,$6.32,Yes,5.73%,sent 104 from jon,,,,,,
weoou,$300.00,Yes,,Good,$300,$248.12,-$51.88,-$51.88,$0.00,$0.00,Yes,0.00%,,,,,,,
Jf122,$30.00,No,$30.00,Good,$0,$0.00,-$30.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
drew ,$100.00,Yes,,Good,$100,$208.63,$108.63,$108.63,$101.00,$7.63,Yes,7.02%,"sent 92 from jon, sent 9 from brokemonk",,,,,,
seanyao (sean),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,Yes,0.00%,,ID: ApWtDQX1Oc,,,,,
kij ,$100.00,Yes,,Good,$100,$228.55,$128.55,$128.55,$126.00,$2.55,Yes,1.98%,"sent 26, sending 56 from brokemonk, brokemonk send me 10",,,,,,
Kyrie (snap),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Sir Punt ,$50.00,No,$50.00,Good,$0,$127.18,$77.18,$127.18,$124.00,$3.18,Yes,4.12%,sent 100 from seanyao,,,,,,
DirtyDan,$150.00,Yes,,Good,$150,$404.50,$254.50,$254.50,$225.00,$29.50,Yes,11.59%,sent 225 from brokemonk,,,,,,
ImpaledBison,$75.00,Yes,,Good,$75,$100.72,$25.72,$25.72,$24.00,$1.72,Yes,6.69%,,,,,,,
jon (water),$300.00,Yes,,Good,$300,$648.60,$348.60,$348.60,$345.00,$3.60,No,1.03%,,,,,,,
