Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Currently Sending,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
MrLukahn,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,,$143.01,,4953.86,4953.86,,
ddavidl (ddl),$100.00,Yes,,Good,$100,$112.60,$12.60,$12.60,$11.97,$0.63,No,5.00%,,,People Leave ->,0,4953.86,total after bs,
Car (Blue Diamond),$143.86,Yes,,Good,$144,$0.00,-$143.86,-$143.86,$0.00,$0.00,No,0.00%,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
magicmike,$300.00,No,$300.00,Good,$0,$409.03,$109.03,$409.03,$404.00,$5.03,No,4.61%,,,should be 0 at end:,$0.00,"$2,489.96",1684.48,8.49%
asaltypepper,$50.00,Yes,,Good,$50,$183.33,$133.33,$133.33,$125.00,$8.33,No,6.25%,,,,,,,
Frankie (FD),$600.00,Yes,,Good,$600,$451.99,-$148.01,-$148.01,$0.00,$0.00,No,0.00%,,,,Credit Sum,Receive Sum,In-Game,
av,$75.00,No,$75.00,Good,$0,$116.72,$41.72,$116.72,$115.00,$1.72,No,4.12%,,,,"$3,304","$1,650.00",$0.00,
freshflufflybuns,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Jon (coffee),$50.00,Yes,,Good,$50,$120.72,$70.72,$70.72,$67.00,$3.72,No,5.26%,,Pokernow Link:,https://www.pokernow.club/games/pglGVh0J98vs0Ww7ifmDs962p,,,,
MeNemEzJef (Eviljef),$50.00,Yes,,Good,$50,$73.59,$23.59,$23.59,$20.00,$3.59,No,15.22%,,,,,,,
Shaquillis (SHAQ),$100.00,Yes,,Good,$100,$232.76,$132.76,$132.76,$122.00,$10.76,No,8.10%,,,,,,,
hwidong (foody),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
br1ann88 (br1),$150.00,Yes,,Good,$150,$56.12,-$93.88,-$93.88,$0.00,$0.00,No,0.00%,,WL:,,,,,
vaunsh,$50.00,Yes,,Good,$50,$167.65,$117.65,$117.65,$109.00,$8.65,No,7.35%,,,,,,,
Vish754 (BrokeMonk),$125.00,Yes,,Good,$125,$331.39,$206.39,$206.39,$196.00,$10.39,No,5.03%,,,,,,,
Thillison (kt),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
ez,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,,,,,,,
b.- (bobo),$150.00,Yes,,Good,$150,$196.33,$46.33,$46.33,$35.00,$11.33,No,24.45%,,,,,,,
joonga,$160.00,Yes,,Good,$160,$129.46,-$30.54,-$30.54,$0.00,$0.00,No,0.00%,,,,,,,
dekoy1x (watermelon),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,,,,,,,
kenster2k ,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
StevewithN (steve),$100.00,Yes,,Good,$100,$113.74,$13.74,$13.74,$0.00,$13.74,Yes,100.00%,,,,,,,
drew,$175.00,Yes,,Good,$175,$157.92,-$17.08,-$17.08,$0.00,$0.00,No,0.00%,,,,,,,
abyan (Mr. D),$50.00,Yes,,Good,$50,$137.85,$87.85,$87.85,$83.00,$4.85,No,5.52%,,,,,,,
vik,$100.00,Yes,,Good,$100,$222.21,$122.21,$122.21,$112.00,$10.21,No,8.35%,,,,,,,
Teensy (the man),$200.00,No,$200.00,Good,$0,$55.48,-$144.52,$55.48,$55.48,$0.00,No,0.00%,,,,,,,
Sb,$75.00,No,$75.00,Good,$0,$155.23,$80.23,$155.23,$150.00,$5.23,No,6.52%,,,,,,,
BB,$200.00,Yes,,Good,$200,$214.98,$14.98,$14.98,$12.00,$2.98,No,19.89%,,,,,,,
yunggarth22 (garth),$150.00,Yes,,Good,$150,$180.53,$30.53,$30.53,$27.00,$3.53,No,11.56%,,,,,,,
newcomb3,$100.00,No,$100.00,Good,$0,$167.87,$67.87,$167.87,$165.00,$2.87,No,4.23%,,,,,,,
BigVic1 (vic),$150.00,No,$150.00,Good,$0,$346.98,$196.98,$346.98,$327.00,$19.98,No,10.14%,,,,,,,
Rick,$150.00,No,$150.00,Good,$0,$0.00,-$150.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
demet,$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,Yes,0.00%,,,,,,,
StevewithN (stvg),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,,,,,,,
spudbud (bulge),$50.00,No,$50.00,Good,$0,$61.68,$11.68,$61.68,$60.00,$1.68,No,14.38%,,,,,,,
Kingriftley (Razor),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Canhk (Martial),$100.00,Yes,,Good,$100,$201.64,$101.64,$101.64,$94.50,$7.14,No,7.02%,,,,,,,
Dougie,$100.00,Yes,,Good,$100,$148.91,$48.91,$48.91,$46.00,$2.91,No,5.95%,,,,,,,
Wade,$150.00,No,$150.00,Good,$0,$0.00,-$150.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Bryan12001 (bryan),$150.00,Yes,,Good,$150,$118.41,-$31.59,-$31.59,$0.00,$0.00,No,0.00%,,,,,,,
Veer Gokhale (veer),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
jon ,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Csizzle (milf hunter),$75.00,Yes,,Good,$75,$88.74,$13.74,$13.74,$10.00,$3.74,No,27.22%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
